"Price","Entire_Place","Bedrooms","Beds","Bathrooms","Amenities","Accommodates","Cleanliness_Rating","Host_Communication_Rating","Superhost"
200,"Entire",1,2,2,58,4,5,4.94,"f"
185,"Entire",1,1,1,53,2,5,5,"f"
146,"Entire",1,2,1,17,2,3.8,5,"f"
40,"Shared",1,1,1,23,1,3,5,"f"
271,"Entire",2,2,2,36,5,4.58,4.82,"f"
59,"Shared",1,1,1.5,39,1,4.96,4.96,"t"
61,"Shared",1,1,2,18,1,4.75,4.88,"t"
250,"Entire",1,1,1,13,2,4,5,"f"
80,"Entire",1,2,1,52,3,4.98,4.97,"f"
120,"Entire",2,3,2,10,3,5,5,"f"
598,"Entire",2,2,2,34,4,4.85,4.97,"f"
285,"Entire",2,4,2.5,52,4,4.78,4.91,"t"
150,"Shared",1,1,1,11,2,5,4.6,"f"
250,"Entire",3,3,2,30,6,5,5,"f"
95,"Entire",1,1,1,12,2,4.33,5,"f"
153,"Shared",1,0,1,28,2,4.94,4.87,"f"
242,"Shared",1,1,1,31,2,4.56,4.88,"f"
156,"Entire",1,1,2,12,3,4.8,5,"f"
524,"Entire",3,5,2,59,8,4.63,4.92,"f"
55,"Shared",3,3,1.5,62,2,4.81,4.73,"t"
184,"Entire",1,2,2,16,5,4.87,4.93,"t"
80,"Shared",1,1,1.5,50,1,4.94,4.91,"f"
85,"Shared",1,2,1,24,3,4.82,4.9,"f"
60,"Shared",1,1,1,11,2,5,5,"f"
98,"Shared",1,1,1.5,29,2,4.69,4.96,"t"
220,"Entire",1,1,1,22,2,4.36,5,"f"
105,"Shared",1,1,1,31,2,4.89,4.96,"t"
286,"Entire",3,4,1.5,45,6,5,5,"f"
185,"Entire",1,1,1,60,3,4.8,4.98,"f"
80,"Entire",1,1,1,32,3,4.75,4.84,"t"
140,"Entire",1,1,1,27,2,4.81,4.93,"t"
280,"Entire",2,2,2,23,4,3.98,4.49,"f"
115,"Entire",1,1,1,25,2,4.9,4.83,"f"
649,"Entire",3,4,2.5,76,7,4.89,4.96,"t"
157,"Shared",1,2,1,57,2,4.79,4.93,"t"
68,"Entire",1,0,1,47,2,4.83,4.91,"t"
175,"Entire",3,4,1.5,21,5,4.78,5,"f"
395,"Entire",3,3,2,57,8,4.7,4.9,"f"
150,"Entire",1,1,1,19,4,4.62,5,"f"
149,"Entire",1,1,1,34,2,4.71,4.9,"f"
125,"Entire",1,1,1,36,2,4.71,4.9,"t"
81,"Entire",1,1,1,27,2,4.83,4.94,"t"
110,"Shared",1,1,1,37,2,5,5,"f"
150,"Shared",1,1,1,14,2,4,5,"f"
283,"Entire",2,2,1,47,4,4.86,4.8,"t"
50,"Shared",1,1,1,7,2,5,5,"f"
75,"Entire",1,1,1,9,3,4.5,4,"f"
73,"Entire",1,1,1,27,2,4.64,5,"f"
225,"Entire",2,2,2.5,19,4,4.92,5,"f"
160,"Entire",1,1,1,51,2,4.96,4.96,"t"
58,"Entire",1,1,1,22,2,4.07,4.86,"f"
123,"Shared",1,1,1,37,2,4.76,4.94,"t"
78,"Entire",1,1,1,15,2,5,4,"f"
120,"Entire",1,1,1,17,2,5,5,"f"
300,"Entire",3,3,1.5,60,5,4.86,5,"f"
190,"Entire",3,2,1,37,5,4.33,4.89,"f"
150,"Entire",1,1,1,18,2,4.74,4.89,"f"
80,"Shared",1,1,1,34,1,4.57,4.92,"f"
100,"Entire",1,2,1,30,4,4.74,4.99,"f"
279,"Entire",4,9,2,37,3,4.95,4.95,"f"
200,"Entire",1,1,1.5,18,3,4,1,"f"
188,"Entire",1,1,1,9,2,4.64,4.91,"f"
60,"Shared",1,1,1,14,2,5,5,"f"
99,"Entire",1,1,1,17,2,4.93,5,"f"
250,"Entire",2,2,1.5,28,4,4.76,4.93,"f"
79,"Entire",2,2,1,14,4,4.11,4.66,"f"
119,"Shared",1,1,1,51,2,4.73,4.96,"t"
123,"Entire",1,1,1,8,2,4.5,5,"f"
80,"Shared",1,1,1,13,2,4.86,4.89,"f"
95,"Shared",1,1,1,48,2,4.94,4.99,"t"
300,"Entire",2,2,1,26,5,4.87,4.75,"t"
130,"Entire",2,2,1.5,56,3,5,5,"t"
109,"Entire",1,2,1,5,4,4,5,"f"
129,"Entire",1,1,1,50,2,4.9,4.94,"t"
122,"Entire",1,1,1,11,3,5,4,"f"
94,"Shared",1,2,1,69,3,4.85,4.95,"t"
200,"Entire",1,1,1,38,2,4.5,4.88,"f"
90,"Entire",1,1,1,12,2,5,5,"f"
650,"Entire",3,3,1,41,6,4.93,4.87,"f"
200,"Entire",1,1,1,14,2,4.91,4.97,"f"
210,"Entire",3,3,2.5,59,6,4.93,5,"t"
77,"Entire",1,1,1,27,3,4.44,4.94,"f"
110,"Shared",1,1,1,16,2,5,5,"f"
55,"Shared",1,1,1,33,2,4.77,4.95,"f"
84,"Entire",2,3,1,15,5,4.2,4.8,"f"
60,"Shared",1,2,1,13,2,4.17,4.75,"f"
148,"Shared",1,2,1,56,2,4.99,4.96,"t"
201,"Entire",1,2,1,40,4,4.58,4.73,"f"
72,"Shared",1,1,2,26,1,4.84,5,"f"
84,"Shared",1,2,2,44,2,4.74,4.94,"t"
120,"Entire",1,1,1,31,2,4.78,4.91,"f"
108,"Entire",1,1,1,17,2,4.56,4.94,"f"
301,"Entire",1,2,1,38,3,4.7,4.74,"f"
125,"Entire",1,2,1,60,2,4.81,4.94,"t"
145,"Entire",1,1,1,16,2,4.75,5,"f"
226,"Shared",1,1,1,47,2,4.84,4.93,"f"
109,"Shared",1,1,2,17,1,4.83,5,"t"
90,"Entire",1,1,1,30,2,4.49,4.95,"t"
149,"Entire",1,1,1,19,2,4.69,4.96,"t"
199,"Entire",2,2,2,21,5,4.75,4.94,"f"
195,"Entire",2,2,1,28,4,4.91,5,"f"
188,"Entire",2,2,2,46,4,4.8,4.8,"f"
566,"Entire",4,4,2,70,8,4.84,4.95,"t"
150,"Entire",1,1,1,9,4,5,5,"f"
136,"Shared",1,2,1,41,3,4.95,4.95,"t"
111,"Entire",1,1,1,47,2,4.93,4.99,"t"
88,"Shared",1,1,1,43,1,5,5,"f"
151,"Shared",1,1,1.5,52,2,4.86,4.94,"t"
80,"Shared",1,1,1,40,2,4.44,4.89,"t"
659,"Entire",1,1,1,21,4,5,5,"t"
101,"Entire",1,2,1,48,4,4.71,4.9,"t"
79,"Entire",1,1,1,11,2,3.5,3.75,"f"
50,"Shared",1,1,1,15,1,4,4.14,"f"
266,"Entire",2,2,1,58,6,4.9,4.98,"t"
101,"Entire",1,1,1,31,3,4.81,4.9,"f"
89,"Entire",1,2,1,40,2,4.88,4.77,"t"
55,"Entire",1,1,1,17,1,4.43,5,"t"
79,"Shared",1,2,3,28,3,4.79,4.93,"f"
98,"Entire",2,3,1,11,6,4.35,4.65,"f"
350,"Entire",1,1,1,15,2,4.5,4.5,"f"
159,"Entire",2,2,2,19,4,4.4,4.9,"f"
125,"Entire",1,2,1,53,2,4.92,5,"t"
585,"Entire",3,3,2.5,31,6,4.68,4.95,"f"
115,"Entire",2,2,1,9,6,4.89,4.79,"f"
69,"Entire",1,1,1,45,2,4.7,5,"f"
399,"Entire",3,3,3.5,49,6,4.97,4.87,"t"
690,"Entire",3,4,2,94,8,4.89,4.94,"f"
250,"Entire",1,1,1,22,2,4.89,4.82,"f"
243,"Entire",2,2,1,36,4,4.4,4.4,"f"
180,"Entire",1,1,1,11,2,4.93,5,"f"
125,"Entire",1,1,1,13,2,4.71,5,"f"
230,"Entire",1,1,1,32,2,4.57,4.97,"f"
137,"Entire",1,1,1,32,2,4.93,4.93,"t"
132,"Entire",1,1,1,10,2,4.75,5,"f"
74,"Shared",1,2,1.5,57,2,4.56,4.89,"t"
127,"Shared",1,2,1,33,4,4.81,4.83,"f"
67,"Shared",1,1,1.5,63,2,5,5,"t"
317,"Entire",1,1,1,71,2,4.88,4.95,"t"
182,"Entire",2,2,2,12,3,4.43,4.76,"f"
73,"Shared",1,1,1.5,64,2,4.78,4.56,"t"
133,"Entire",1,1,1,32,2,4.59,4.93,"t"
325,"Entire",3,3,2.5,38,6,5,5,"f"
213,"Entire",3,3,2.5,25,4,4.6,4.91,"t"
309,"Shared",1,1,1,30,1,5,4.85,"f"
110,"Entire",2,2,1,26,4,4.5,5,"f"
80,"Entire",1,1,1,16,2,4.27,4.73,"t"
200,"Entire",3,3,1.5,11,6,4,4.44,"t"
140,"Entire",2,3,1,15,5,4.98,4.99,"f"
223,"Entire",2,2,2,25,4,4.55,4.68,"f"
110,"Entire",1,2,1,37,3,4.25,4.76,"f"
